course_id,course_code,context,question,answer
0,IE302,"Môn học Kiến trúc hệ thống và Tích hợp hệ thống (IE302) giới thiệu các khái niệm về thu thập yêu cầu, tìm nguồn cung ứng, đánh giá và tích hợp các thành phần vào một hệ thống thống nhất. Nội dung môn học bao gồm các nguyên tắc quản lý dự án, sự liên kết giữa các ứng dụng CNTT và quy trình tổ chức. Sinh viên sẽ được trang bị kiến thức về quản lý dự án, kiểm định và đảm bảo chất lượng, tích hợp và phát triển hệ thống, cũng như tìm nguồn cung ứng.",Sinh viên sẽ được trang bị kiến thức gì trong môn học IE302?,"quản lý dự án, kiểm định và đảm bảo chất lượng, tích hợp và phát triển hệ thống, cũng như tìm nguồn cung ứng"
0,IE302,"Môn học Kiến trúc hệ thống và Tích hợp hệ thống (IE302) giới thiệu các khái niệm về thu thập yêu cầu, tìm nguồn cung ứng, đánh giá và tích hợp các thành phần vào một hệ thống thống nhất. Nội dung môn học bao gồm các nguyên tắc quản lý dự án, sự liên kết giữa các ứng dụng CNTT và quy trình tổ chức. Sinh viên sẽ được trang bị kiến thức về quản lý dự án, kiểm định và đảm bảo chất lượng, tích hợp và phát triển hệ thống, cũng như tìm nguồn cung ứng.",Môn học nào giới thiệu các khái niệm về thu thập yêu cầu và tìm nguồn cung ứng?,Môn học Kiến trúc hệ thống và Tích hợp hệ thống (IE302)
0,IE302,"Môn học Kiến trúc hệ thống và Tích hợp hệ thống (IE302) giới thiệu các khái niệm về thu thập yêu cầu, tìm nguồn cung ứng, đánh giá và tích hợp các thành phần vào một hệ thống thống nhất. Nội dung môn học bao gồm các nguyên tắc quản lý dự án, sự liên kết giữa các ứng dụng CNTT và quy trình tổ chức. Sinh viên sẽ được trang bị kiến thức về quản lý dự án, kiểm định và đảm bảo chất lượng, tích hợp và phát triển hệ thống, cũng như tìm nguồn cung ứng.",Nội dung của môn học IE302 bao gồm những nguyên tắc nào?,"nguyên tắc quản lý dự án, sự liên kết giữa các ứng dụng CNTT và quy trình tổ chức"
0,IE302,"Môn học Kiến trúc hệ thống và Tích hợp hệ thống (IE302) giới thiệu các khái niệm về thu thập yêu cầu, tìm nguồn cung ứng, đánh giá và tích hợp các thành phần vào một hệ thống thống nhất. Nội dung môn học bao gồm các nguyên tắc quản lý dự án, sự liên kết giữa các ứng dụng CNTT và quy trình tổ chức. Sinh viên sẽ được trang bị kiến thức về quản lý dự án, kiểm định và đảm bảo chất lượng, tích hợp và phát triển hệ thống, cũng như tìm nguồn cung ứng.",Môn học IE302 tập trung vào việc tích hợp và phát triển gì?,"hệ thống, cũng như tìm nguồn cung ứng"
0,IE302,"Môn học Kiến trúc hệ thống và Tích hợp hệ thống (IE302) giới thiệu các khái niệm về thu thập yêu cầu, tìm nguồn cung ứng, đánh giá và tích hợp các thành phần vào một hệ thống thống nhất. Nội dung môn học bao gồm các nguyên tắc quản lý dự án, sự liên kết giữa các ứng dụng CNTT và quy trình tổ chức. Sinh viên sẽ được trang bị kiến thức về quản lý dự án, kiểm định và đảm bảo chất lượng, tích hợp và phát triển hệ thống, cũng như tìm nguồn cung ứng.",Môn học IE302 bao gồm những nội dung gì?,"các nguyên tắc quản lý dự án, sự liên kết giữa các ứng dụng CNTT và quy trình tổ chức"
1,CS115,"Mã môn học của môn Toán cho Khoa học máy tính là CS115. Tóm tắt nội dung môn học như sau: Môn này cung cấp kiến thức về Toán ứng dụng trong các lĩnh vực như máy học, trí tuệ nhân tạo, khai phá dữ liệu và xử lý tín hiệu số.",Môn học CS115 cung cấp kiến thức về Toán ứng dụng trong lĩnh vực nào khác nữa?,xử lý tín hiệu số
1,CS115,"Mã môn học của môn Toán cho Khoa học máy tính là CS115. Tóm tắt nội dung môn học như sau: Môn này cung cấp kiến thức về Toán ứng dụng trong các lĩnh vực như máy học, trí tuệ nhân tạo, khai phá dữ liệu và xử lý tín hiệu số.",Môn học CS115 cung cấp kiến thức về lĩnh vực nào?,Toán ứng dụng
1,CS115,"Mã môn học của môn Toán cho Khoa học máy tính là CS115. Tóm tắt nội dung môn học như sau: Môn này cung cấp kiến thức về Toán ứng dụng trong các lĩnh vực như máy học, trí tuệ nhân tạo, khai phá dữ liệu và xử lý tín hiệu số.",Môn CS115 cung cấp kiến thức về Toán ứng dụng trong những lĩnh vực nào?,"máy học, trí tuệ nhân tạo, khai phá dữ liệu và xử lý tín hiệu số"
1,CS115,"Mã môn học của môn Toán cho Khoa học máy tính là CS115. Tóm tắt nội dung môn học như sau: Môn này cung cấp kiến thức về Toán ứng dụng trong các lĩnh vực như máy học, trí tuệ nhân tạo, khai phá dữ liệu và xử lý tín hiệu số.",Mã môn học của môn Toán cho Khoa học máy tính là gì?,CS115
1,CS115,"Mã môn học của môn Toán cho Khoa học máy tính là CS115. Tóm tắt nội dung môn học như sau: Môn này cung cấp kiến thức về Toán ứng dụng trong các lĩnh vực như máy học, trí tuệ nhân tạo, khai phá dữ liệu và xử lý tín hiệu số.",Môn CS115 cung cấp kiến thức về Toán ứng dụng trong lĩnh vực xử lý gì?,tín hiệu số
